credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
215552;20220923,0000000;20230430;20240930;18;  7;18000000,00;18000000,00;708;0,000000000000000000000000;0,000000000000000000000000;7848653,34510689043;18000000;70;33982479;0,40066777963272121044;44925000,0000;Vehicular;Refinanciacion;1,00000000000000
215555;20221024,0000000;20240930;20240930;1; 24;55640310,16;55640310,16;159;0,000000000000000000000000;0,000000000000000000000000;24781434,57009350136;55640310;70;64867178;0,94989859428083645021;58575000,0000;Vehicular;;1,00000000000000
215569;20221024,0000000;20240731;20240930;3; 22;397283615,81;397283615,81;422;0,000000000000000000000000;0,000000000000000000000000;171158253,98711198568;397283615;70;599259599;0,58142327371047641815;683295000,0000;Vehicular;;1,00000000000000
215608;20220909,0000000;20230731;20240930;15; 10;22867648,05;22867648,05;571;0,000000000000000000000000;0,000000000000000000000000;12036812,85569369979;22867648;70;40491443;0,65570316989247312556;34875000,0000;Vehicular;Reestructuracion;1,00000000000000
215609;20221026,0000000;20231130;20240930;11; 14;70000000,00;59767998,65;4;0,146171447857142866588731;0,146171447857142866588731;31177044,48279570043;59767998;70;61516095;0,84109201590205462384;71060000,0000;Vehicular;;1,14617144785714
215623;20221026,0000000;20230731;20240930;15; 10;52790000,00;48076114,66;188;0,089295043379427993524011;0,066971282534570991673561;27787000,68551310152;48076114;70;58710034;0,77617233871488533481;61940000,0000;Vehicular;;1,06697128253457
215624;20221026,0000000;20240831;20240930;2; 23;114370565,28;114370565,28;209;0,000000000000000000000000;0,000000000000000000000000;50939088,46467830241;114370565;70;142209822;0,53571860639842616703;213490000,0000;Vehicular;;1,00000000000000
215651;20221027,0000000;20240731;20240930;3; 22;54866734,11;54866734,11;238;0,000000000000000000000000;0,000000000000000000000000;24436894,37919599935;54866734;70;69018027;1,18374830873786396346;46350000,0000;Vehicular;;1,88781123155340
215655;20221027,0000000;20240229;20240930;8; 17;50017211,50;50017211,50;187;0,000000000000000000000000;0,000000000000000000000000;48780460,27487830073;50017211;70;58938048;0,98217401080019639537;50925000,0000;Vehicular;;1,00000000000000
215706;20221027,0000000;20230930;20240930;13; 12;4354831,36;4354831,36;492;0,000000000000000000000000;0,000000000000000000000000;2292246,67523421021;4354831;70;6194331;0,03267553074470080920;133275000,0000;Vehicular;;1,00000000000000
215722;20221028,0000000;20231130;20240930;11; 14;79128405,11;79128405,11;457;0,000000000000000000000000;0,000000000000000000000000;41650711,19489599764;79128405;70;121404728;0,62171208100569630428;127275000,0000;Vehicular;;1,00000000000000
215723;20221028,0000000;20231130;20240930;11; 14;79125294,20;69445664,12;0;0,122332942681178655219831;0,122332942681178655219831;41649073,66204640269;69445664;70;70928728;0,69048634471787229128;100575000,0000;Vehicular;;1,12233294268118
215728;20221028,0000000;20231130;20240930;11; 14;60000000,00;50896923,52;29;0,151717941333333272702077;0,151717941333333272702077;31582118,60448550060;50896923;70;53159745;0,71625279369546868136;71060000,0000;Vehicular;Reestructuracion;1,15171794133333
215731;20221028,0000000;20230531;20240930;17;  8;59000000,00;59000000,00;669;0,000000000000000000000000;0,000000000000000000000000;26277794,63549929857;59000000;70;104556065;1,34934248141795309905;43725000,0000;Vehicular;;2,01200686106346
215743;20221028,0000000;20230731;20240930;15; 10;42638305,88;18439937,00;91;0,567526508865131340542121;0,425644881648848505406590;18990519,02365729958;18439937;70;20141276;0,33046482078853051112;55800000,0000;Vehicular;;1,42564488164885
215779;20221031,0000000;20230630;20240930;16;  9;89990000,00;80672766,13;29;0,103536324813868263472472;0,073084464574495244804098;87246802,05288499594;80672766;70;82522231;0,80331357859098828644;100425000,0000;Vehicular;;1,07308446457450
215790;20221031,0000000;20230731;20240930;15; 10;115990000,00;115990000,00;579;0,000000000000000000000000;0,000000000000000000000000;51660362,70799259841;115990000;70;191647350;0,77793427230046952037;149100000,0000;Vehicular;;1,00000000000000
